[2026-03-01 11:26:33.178] [debug] Election timeout: 2000ms
[2026-03-01 11:26:33.179] [info] Cluster peers:
[2026-03-01 11:26:33.179] [info] 127.0.0.1:8001
[2026-03-01 11:26:33.179] [info] 127.0.0.1:8002
[2026-03-01 11:26:33.179] [warning] --------------------------------total_nodes_count_: 1
[ERROR] ZK handle is null, call start first!
[ERROR] ZK handle is null, call start first!
[INFO] zookeeper_init success! connect to: {}
[INFO] ZK session connected success!
[INFO] ZK node already exists, skip create: [{}]
[2026-03-01 11:26:33.186] [info] ------------------------------------Raft node 0 started on 127.0.0.1:8000------------------------------------
[2026-03-01 11:26:33.186] [debug] Raft node 0 initialized on 127.0.0.1:8000
[2026-03-01 11:26:33.188] [info] ------------------------------client runing ----------------------------
[INFO] zookeeper_init success! connect to: {}
[INFO] ZK session connected success!
[INFO] Refresh service cache for path: {}, node count: {}
[2026-03-01 11:26:35.685] [error] Failed to connect to peer: 127.0.0.1:8001
[2026-03-01 11:26:35.686] [info] 连接成功: 127.0.0.1:8002
[2026-03-01 11:26:35.686] [debug] Connected to peer: 127.0.0.1:8002
[2026-03-01 11:26:35.686] [info] ------------------------------------Into run_election_timeout------------------------------------
[2026-03-01 11:26:37.726] [error] Node 0 became candidate at term 1
[2026-03-01 11:26:37.726] [info] ------------------------------------Vote begain--------------------------------------
[2026-03-01 11:26:37.726] [info] 连接成功: 127.0.0.1:8001
[2026-03-01 11:26:37.727] [debug] Success! Result: reply.term=1, voteGranted=true
[2026-03-01 11:26:37.727] [debug] Success! Result: reply.term=1, voteGranted=true
[2026-03-01 11:26:37.727] [info] ----------------------total_nodes_count_: 3, vote_count: 3-------------------
[2026-03-01 11:26:37.727] [error] Node 0 became leader at term 1.
[2026-03-01 11:26:37.727] [info] Node 0 starting heartbeat thread for term 1.
[2026-03-01 11:26:37.728] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:37.728] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:38.346] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:38.346] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:38.964] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:38.965] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:39.585] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:39.586] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:40.205] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:40.205] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:40.825] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:40.825] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:41.450] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:41.451] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:42.069] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:42.069] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:42.690] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:42.690] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:43.308] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:43.309] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:43.926] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:43.927] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:44.545] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:44.545] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:45.163] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:45.164] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:45.782] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:45.782] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:46.402] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:46.402] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:47.032] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:47.033] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:47.651] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:47.652] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:48.273] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-03-01 11:26:48.273] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-03-01 11:26:48.891] [debug] Heartbeat to node 1 Reply term: 1 Success: true
