[2026-02-28 20:12:05.843] [debug] Election timeout: 6000ms
[2026-02-28 20:12:05.844] [info] Cluster peers:
[2026-02-28 20:12:05.844] [info] 127.0.0.1:8001
[2026-02-28 20:12:05.844] [info] 127.0.0.1:8000
[2026-02-28 20:12:05.844] [warning] --------------------------------total_nodes_count_: 3
[ERROR] ZK handle is null, call start first!
[ERROR] ZK handle is null, call start first!
[INFO] zookeeper_init success! connect to: {}
[INFO] ZK session connected success!
[INFO] ZK node already exists, skip create: [{}]
[2026-02-28 20:12:05.850] [info] ------------------------------------Raft node 2 started on 127.0.0.1:8002------------------------------------
[2026-02-28 20:12:05.850] [debug] Raft node 2 initialized on 127.0.0.1:8002
[2026-02-28 20:12:05.852] [info] ------------------------------client runing ----------------------------
[INFO] zookeeper_init success! connect to: {}
[INFO] ZK session connected success!
[INFO] Refresh service cache for path: {}, node count: {}
[2026-02-28 20:12:05.855] [info] 连接成功: 127.0.0.1:8001
[2026-02-28 20:12:05.855] [debug] Connected to peer: 127.0.0.1:8001
[2026-02-28 20:12:05.855] [info] 连接成功: 127.0.0.1:8000
[2026-02-28 20:12:05.855] [debug] Connected to peer: 127.0.0.1:8000
[2026-02-28 20:12:05.855] [info] ------------------------------------Into run_election_timeout------------------------------------
[2026-02-28 20:12:11.871] [error] Node 2 became candidate at term 1
[2026-02-28 20:12:11.871] [info] ------------------------------------Vote begain--------------------------------------
[2026-02-28 20:12:11.871] [debug] Success! Result: reply.term=1, voteGranted=true
[2026-02-28 20:12:11.872] [debug] Success! Result: reply.term=1, voteGranted=true
[2026-02-28 20:12:11.872] [info] ----------------------total_nodes_count_: 3, vote_count: 3-------------------
[2026-02-28 20:12:11.872] [error] Node 2 became leader at term 1.
[2026-02-28 20:12:11.872] [info] Node 2 starting heartbeat thread for term 1.
[2026-02-28 20:12:11.873] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:11.873] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:12.847] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:12.847] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:13.821] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:13.822] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:14.796] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:14.796] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:15.770] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:15.770] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:16.744] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:16.744] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:17.718] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:17.719] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:18.692] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:18.693] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:19.670] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:19.671] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:18.782] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:18.783] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:19.757] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:19.758] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:20.732] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:20.733] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:21.706] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:21.707] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:22.681] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:22.681] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:23.655] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:23.655] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:24.629] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:24.630] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:25.603] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:25.604] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:26.582] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:26.582] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:27.556] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:27.557] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:28.530] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:28.531] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:29.505] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:29.505] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:30.480] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:30.480] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:31.455] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:31.455] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:32.429] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:32.430] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:33.407] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:33.408] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:34.383] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:34.383] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:35.357] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:35.358] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:36.331] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:36.332] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:37.305] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:37.306] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:38.280] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:38.280] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:39.255] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:39.255] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:40.230] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:40.230] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:41.205] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:41.205] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:42.179] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:42.180] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:43.153] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:43.154] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:44.128] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:44.128] [debug] Heartbeat to node 2 Reply term: 1 Success: true
[2026-02-28 20:12:45.102] [debug] Heartbeat to node 1 Reply term: 1 Success: true
[2026-02-28 20:12:45.102] [debug] Heartbeat to node 2 Reply term: 1 Success: true
